#FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>	
OG0000019	0.454596	7.34312e-09	0.076554	0.279749	2.61019e-15	7.44995e-16	0.310163	0.913519	0.0224256	0.439854	0.478981	0.00295123	0.10325	0.132994	0.489117	0.442979	0.62868	0.0612133	N/A
OG0000021	0.727587	0.350438	0.588765	0.760376	7.46916e-15	2.84061e-109	0.190548	4.04462e-12	0.704821	0.223931	0.0026907	2.45771e-16	0.623906	0.644106	0.0114044	0.749289	0.546257	0.667152	N/A
OG0000022	1.74899e-07	0.324956	0.672712	0.230368	2.08925e-05	3.81792e-43	0.00293871	2.38121e-09	0.820102	6.53104e-18	0.0312314	0.85273	3.52062e-06	0.260673	0.0411653	0.046281	0.535326	0.25331	N/A
OG0000024	0.765306	0.765306	0.6129	0.00904464	2.35695e-06	2.25886e-14	9.07279e-05	0.134859	0.00474901	1.76603e-06	5.93649e-06	3.73417e-29	0.757029	0.108952	0.00111727	0.00844839	0.586197	0.284568	N/A
OG0000025	0.023466	0.727587	0.588765	0.00393649	5.51838e-06	0.105658	0.190548	0.781798	2.13941e-06	1.31282e-37	3.12382e-07	2.38082e-21	0.745618	0.223932	0.000946535	0.000544167	0.566953	0.0126972	N/A
OG0000027	0.517117	0.517117	0.224971	0.411368	0.0274313	0.000190835	0.787286	0.176991	0.859195	0.0967601	0.528021	0.528021	0.785547	0.808906	0.943047	0.8842	0.64368	0.438737	N/A
OG0000028	0.416509	0.416509	0.6129	0.00904464	0.00165393	3.69625e-21	8.39481e-06	9.16396e-07	0.524923	9.62588e-27	0.000488458	0.231567	0.00292272	0.711838	0.0379507	0.10266	0.556794	0.173828	N/A
OG0000029	0.0553753	0.0270093	0.730366	1.12625e-05	3.57608e-11	0.0480938	0.412286	2.14748e-05	0.838979	0.764179	0.640021	0.00312498	0.757029	0.108952	0.0422542	0.00844839	0.586197	0.0110317	N/A
OG0000031	0.603314	0.603314	0.532635	0.626502	0.552155	0.0775147	0.5369	0.614909	0.569351	0.691755	0.0024438	4.29276e-75	0.1034	9.27878e-06	0.520964	0.661179	0.523984	0.52688	N/A
OG0000033	0.00349038	0.0430276	0.672712	0.00753137	2.20876e-11	2.25886e-14	0.0233232	0.413569	0.0258851	8.801e-15	6.49355e-05	8.78598e-12	0.757029	0.782026	0.00111727	0.00844839	0.586197	0.147	N/A
